Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
2022,Applied Data Scientist,Senior,FT,US,L,100,169006
2022,Data Scientist,Mid,FT,US,M,100,74477
2022,Data Analyst,Senior,FT,US,M,100,128903
2022,Data Analyst,Senior,FT,US,M,100,95483
2022,Data Analyst,Senior,FT,US,M,100,86241
2022,Data Analyst,Mid,FT,CA,M,0,81161
2022,Data Analyst,Mid,FT,CA,M,0,71613
2022,Machine Learning Engineer,Senior,FT,US,M,100,204334
2022,Machine Learning Engineer,Senior,FT,US,M,100,183901
2022,Data Architect,Senior,FT,US,M,100,254368
2022,Data Architect,Senior,FT,US,M,100,203494
2022,Data Analyst,Senior,FT,US,M,100,107801
2022,Data Engineer,Senior,FT,US,M,100,147999
2022,Data Scientist,Mid,FT,US,M,0,134918
2022,Data Scientist,Mid,FT,US,M,0,97489
2022,Data Analyst,Senior,FT,US,M,100,110698
2022,Data Analyst,Senior,FT,US,M,100,77977
2022,Data Engineer,Mid,FT,US,M,0,197363
2022,Data Engineer,Mid,FT,US,M,0,94624
2022,Data Engineer,Senior,FT,US,M,100,124128
2022,Data Engineer,Senior,FT,US,M,100,109806
2022,Data Engineer,Senior,FT,US,M,100,105509
2022,Data Engineer,Senior,FT,US,M,100,124128
2022,Data Analyst,Senior,FT,US,M,100,94576
2022,Data Engineer,Senior,FT,US,M,100,152773
2022,Data Scientist,Senior,FT,US,L,0,196027
2022,Data Scientist,Senior,FT,US,L,0,134059
2022,Data Scientist,Senior,FT,US,M,100,168051
2022,Data Scientist,Senior,FT,US,M,100,137496
2022,Data Engineer,Senior,FT,US,M,100,191062
2022,Data Engineer,Senior,FT,US,M,100,152773
2022,Data Engineer,Senior,FT,US,M,100,138451
2022,Data Engineer,Senior,FT,US,M,0,67316
2022,Data Scientist,Senior,FT,US,M,0,196027
2022,Data Scientist,Senior,FT,US,M,0,134059
2022,Analytics Engineer,Senior,FT,US,M,0,196027
2022,Analytics Engineer,Senior,FT,US,M,0,176358
2022,Data Engineer,Senior,FT,US,M,100,167191
2022,Data Engineer,Senior,FT,US,M,100,133915
2022,Data Analyst,Senior,FT,US,M,100,110904
2022,Data Engineer,Senior,FT,US,M,0,51561
2022,Data Analyst,Senior,FT,US,M,100,162322
2022,Data Analyst,Mid,FT,GB,M,0,62482
2022,Data Analyst,Senior,FT,US,M,100,76387
2022,Data Scientist,Senior,FT,US,M,100,133677
2022,Data Scientist,Senior,FT,US,M,100,200515
2022,Data Scientist,Senior,FT,US,M,100,133677
2022,Data Analyst,Senior,FT,US,M,100,95483
2022,Data Analyst,Senior,FT,US,M,100,65884
2022,Data Scientist,Senior,FT,US,M,100,200515
2022,Data Scientist,Senior,FT,US,M,100,133677
2022,Data Scientist,Senior,FT,US,M,100,200515
2022,Data Analyst,Senior,FT,US,M,100,143297
2022,Data Engineer,Senior,FT,US,M,100,95483
2022,Data Engineer,Senior,FT,US,M,100,23871
2022,Data Analyst,Senior,FT,US,M,100,120787
2022,Data Analyst,Senior,FT,US,M,100,101461
2022,Data Engineer,Senior,FT,US,M,100,210169
2022,Data Engineer,Senior,FT,US,M,100,152850
2022,Data Analyst,Senior,FT,US,M,100,100258
2022,Data Analyst,Senior,FT,US,M,100,105915
2022,Data Analyst,Mid,FT,GB,M,0,43738
2022,Data Scientist,Senior,FT,US,M,100,133677
2022,Data Analyst,Senior,FT,US,M,0,94529
2022,Data Analyst,Senior,FT,US,M,100,57290
2022,Data Architect,Senior,FT,US,M,100,183867
2022,Data Architect,Senior,FT,US,M,100,138312
2022,Data Scientist,Senior,FT,US,M,100,219612
2022,Data Scientist,Senior,FT,US,M,100,143225
2022,Data Analytics Manager,Senior,FT,US,M,100,143473
2022,Data Analytics Manager,Senior,FT,US,M,100,104344
2022,Data Scientist,Senior,FT,US,M,100,200515
2022,Data Analyst,Senior,FT,US,M,100,162322
2022,Data Scientist,Mid,FT,US,M,100,152773
2022,Data Scientist,Mid,FT,US,M,100,124128
2022,Data Analyst,Entry,FT,CA,M,0,63974
2022,Data Analyst,Entry,FT,CA,M,0,49651
2022,Data Engineer,Senior,FT,US,M,100,147044
2022,Data Engineer,Senior,FT,US,M,100,120309
2022,Data Analyst,Senior,FT,US,M,0,123174
2022,Data Analyst,Senior,FT,US,M,100,143225
2022,AI Scientist,Mid,FT,IN,L,100,190967
